uby	year	file	unit	nest	unit_box	egg	egg_mass	lay_order	L	T	A	E	eggLengthpx	len_IJ	wid_IJ	len_redo	wid_redo	exclude	note	fband	mband	ci_doy	clutch_size	max_brood	d6_brood	d6_mass	num_fled	nest_exp	nest_treat	f_age	f_mass1	f_wing1	f_hb1	m_mass1	m_wing1	m_hb1	gen_mother	fem_birth_yr	fem_birth_loc	epy_in_nest	wpy_in_nest	unk_in_nest	num_pat_knwn	pointedness	elongation	polarasymmetry	volume
1_114_2021	2021	1_114	1	114	1_114	B			1.2411	0.6598	0.2411	0.5157	412	20.169	13.683					281174134	281174328	136	6	4			4	Cold_Snap	Cold_Control	SY	22	114	28.3	20.75	121	29	240150375	2020	1_437					0.592036208	1.489439676	1.427482294	1.864236437
1_302_2020	2020	1_302	1	302	1_302	C			1.1613	0.704	0.1613	0.4204	392	19.329	14.062					240150385		143	6	6	0	0	0	Validation	BCC	SY	20.5													0.558019348	1.395118714	1.460724546	1.864317673
1_377_2020	2020	1_377	1	377	1_377	B			1.2337	0.68711	0.23368	0.45537	531	19.591	14.25					281128805		141	6	6	0	0	0	Validation	BCA	SY	20.5	112	27.8				272107809	2019	1_81					0.570797119	1.421188314	1.52983897	1.864594725
1_12_2020	2020	1_12	1	12	1_12	C			1.218	0.66641	0.21804	0.50058	516	19.958	13.823					240150388	281174138	146	6	6	5	20.6	0	CortDose	Cort	ASY	22.25	118	28.8	19.25	121	29.2								0.574736296	1.455926432	1.470402845	1.864679271
1_381_2020	2020	1_381	1	381	1_381	F			1.1487	0.78224	0.14869	0.27838	470	17.999	14.247					88004749		140	6	6	0	0	0	Validation	BDC	ASY	24.25	120	28.3											0.553694782	1.239926044	1.040741684	1.865277352
1_104_2020	2020	1_104	1	104	1_104	A			1.2811	0.6227	0.2811	0.606	298	20.932	12.722					281174516	281128435	145	5	0	0	0	0	CortDose	Cort	SY	22	115	29	21	114	29.3								0.597004539	1.571545706	1.620204238	1.865433269
2_124_2020	2020	2_124	2	124	2_124	B			1.159	0.8159	0.15898	0.22564	424	17.458	14.487					278171872	281174105	139	6	4	0	0	0	CortDose	Cort	ASY	21.5	116	28.9	20	116	29								0.543113271	1.213495955	1.53297904	1.866155669
2_8_2021	2021	2_8	2	8	2_8	D			1.1692	0.76038	0.16922	0.31513	462	18.262	14.109					281174005	281174982	136	5	1			1	Cold_Snap	Cold_Control	SY	21.5	111	28.2	19.5	116	28.6								0.565917313	1.292477878	1.39015031	1.866384884
1_46_2021	2021	1_46	2	46	2_46	D			1.2031	0.6576	0.2031	0.52071	431	20.16	13.388					240150397		138	6	4			2	Carryover	Prev_Cort	ASY	19.5	119	29.2											0.567548597	1.4968526	1.560067703	1.866497613
1_45_2021	2021	1_45	1	45	1_45	D			1.1955	0.75974	0.19549	0.31624	443	18.357	13.963					281174806		139	5	0			0	Cold_Snap		SY	17.5	114	28.9											0.550104307	1.303224635	1.762477187	1.86815615
1_47_2021	2021	1_47	1	47	1_47	E			1.2163	0.7512	0.21633	0.3312	436	18.462	14.46					281178583		139	5	0			0	Cold_Snap		SY	18	119	28.4											0.5685625	1.294709989	1.638665771	1.870382278
1_60_2021	2021	1_60	1	60	1_60	D			1.2308	0.72914	0.23082	0.37147	484	18.848	13.93					281128458	281174131	137	5	5			5	Cold_Snap	Cold_Control	ASY	21	119	28.6	19.5	124	28.9								0.588802938	1.352674671	1.574380719	1.872369153
2_102_2020	2020	2_102	2	102	2_102	B			1.1247	0.7936	0.1247	0.2601	557	17.823	14.356					281128561	272106664	148	4	4	4	60	0	CortDose	Control	ASY	21	115	28.6	20	123	28.8				2	2	0	4	0.547558973	1.241262662	1.342049412	1.87370009
2_115_2020	2020	2_115	2	115	2_115	B			1.0434	0.70326	0.043402	0.42195	523	19.361	13.727					272107217	272107690	133	6	4	4	41.9	0	CortDose	Control	ASY	23.75	119	28.9	22.5	127	29.2				2	2	0	4	0.546792207	1.435707808	1.055686174	1.874510566
2_47_2021	2021	2_47	2	47	2_47	D			1.2663	0.66944	0.26626	0.49379	443	19.92	13.745					281128816	281128476	136	6	6			5	Carryover	Prev_Cort	ASY	23	111	28.5	18.75	121	29.1	281128707	2019	1_329					0.582083047	1.456159075	1.551323242	1.874729629
2_30_2021	2021	2_30	2	30	2_30	E			1.2952	0.69787	0.29516	0.43292	448	19.408	13.585					281174502		134	6	0			0	Carryover	Prev_Cort	ASY	23	116	28.1											0.591143084	1.407403067	2.012979355	1.874822561
1_86_2020	2020	1_86	1	86	1_86	C			1.1147	0.74395	0.11471	0.34418	502	18.633	14.13					281128558		143	5	4	4	25.5	0	CortDose	Cort	SY	19	114	28.6							2	1	1	3	0.554710977	1.341326654	1.175608127	1.875353021
2_70_2021	2021	2_70	2	70	2_70	B	1.6	2t6	1.1939	0.707	0.19389	0.41443	470	19.304	13.792					281174002		133	6	5			4	Cold_Snap	Cold_Cold	SY	22	117	29.1											0.565202755	1.399050521	1.279712936	1.878307742
2_34_2021	2021	2_34	2	34	2_34	F			1.1912	0.7948	0.1912	0.2583	365	17.828	14.303					281174509		137	6	0			0	Carryover	Prev_Control	ASY	22	114	27.5											0.572292604	1.242386502	1.38178573	1.878399625
1_17_2021	2021	1_17	1	17	1_17	B	1.8		1.2438	0.67793	0.24383	0.47507	465	19.755	13.763					281174135		132	6	0			0	Cold_Snap		SY	20.5	116	28.3				240150375	2020	1_437					0.574961731	1.438781658	1.843620437	1.87874737
1_77_2020	2020	1_77	1	77	1_77	D			1.2396	0.67504	0.23956	0.48139	516	19.919	13.837					240150391	281174443	148	5	4	4	50	0	CortDose	Cort	SY	24	112	28.6	20	118	28.9				1	1	0	2	0.559789132	1.453894736	1.496758793	1.880470157
2_35_2020	2020	2_35	2	35	2_35	F			1.1981	0.78157	0.19813	0.27948	470	18.011	14.451					281174509	281128516	139	6	6	6	60.5	0	CortDose	Control	SY	22	116	28.6	19	119	29.1				1	5	0	6	0.577707155	1.25494587	1.48065307	1.880968125
2_12_2021	2021	2_12	2	12	2_12	E			1.1712	0.74432	0.17118	0.34351	420	18.663	14.206					281174995		138	6	0			0	Cold_Snap		SY	18.25	122	28.2											0.57298391	1.333207119	1.324219923	1.88355263
2_76_2020	2020	2_76	2	76	2_76	C			1.2612	0.6851	0.2612	0.4596	700	19.671	13.712					281128564	281174450	152	4	3	3	37.6	0	CortDose	Cort	SY	21.5	113	29.4	18.5	118	28.3				2	1	0	3	0.574633845	1.427821713	1.743702172	1.884294587
2_25_2021	2021	2_25	2	25	2_25	E			1.1805	0.72723	0.18051	0.37507	416	18.972	14.053					272107361		135	6	6			6	Carryover	Prev_Control	ASY	22	113	28.6											0.567220987	1.357430613	1.492648925	1.887563228
1_366_2020	2020	1_366	1	366	1_366	A			1.0877	0.81091	0.08771	0.23319	444	17.667	14.583					278172150		137	5	5	0	0	0	Validation	BDC	ASY	22.5	117	28.4											0.546231776	1.232650657	1.11454966	1.887686554
1_75_2021	2021	1_75	1	75	1_75	D			1.1982	0.66366	0.19815	0.50679	472	20.16	13.527					281174808		137	6	0			0	Cold_Snap		ASY	19	118	28.8											0.56334081	1.491072173	1.767069745	1.887855115
1_358_2020	2020	1_358	1	358	1_358	D			1.1738	0.7461	0.1738	0.3402	627	18.627	14.193					240150384		145	4	4	0	0	0	Validation	BCA	SY	20	113	28.1											0.567339016	1.312221722	1.292199658	1.888161099
1_23_2021	2021	1_23	1	23	1_23	B	1.8		1.2504	0.70874	0.25037	0.41095	420	19.224	13.808					281174116	281128482	135	5	4			3	Cold_Snap	Cold_Control	SY	21.5	117	27.8	20.5	119	29.1	272107378	2020	1_309					0.570716381	1.379986431	2.16070639	1.88828769
2_96_2020	2020	2_96	2	96	2_96	B			1.2342	0.71583	0.23417	0.39697	331	19.152	14.034					281128602		143	6	6	6	81.7	0	CortDose	Control	ASY	22	119	28.3							1	5	0	6	0.5797804	1.376719806	1.664235116	1.889265362
2_84_2020	2020	2_84	2	84	2_84	C			1.2013	0.60728	0.20127	0.6467	582	21.397	13.295					281174504	281128563	140	5	5	5	60.5	0	CortDose	Control	SY	21	112	29	20	120	28.9				0	5	0	5	0.564726058	1.613345561	1.642773228	1.889928727
2_70_2020	2020	2_70	2	70	2_70	A			1.162	0.78849	0.16196	0.26824	409	17.862	14.327					278172313	281128565	142	5	5	5	53	0	CortDose	Cort	SY	20	113	28.2	20.5	118	29	263114113	2019	4_94	1	4	0	5	0.561583906	1.24358043	1.425305626	1.890476257
1_23_2021	2021	1_23	1	23	1_23	D	1.8		1.2587	0.7455	0.25868	0.34139	410	18.543	14.174					281174116	281128482	135	5	4			3	Cold_Snap	Cold_Control	SY	21.5	117	27.8	20.5	119	29.1	272107378	2020	1_309					0.575761098	1.310342714	1.930245933	1.890933716
2_90_2020	2020	2_90	2	90	2_90	E			1.2355	0.75709	0.23552	0.32084	439	18.442	14.288					281174511	281174524	142	6	6	6	50.9	0	CortDose	Control	SY	20	120	28.8	19.5	121	28.6				4	2	0	6	0.566863616	1.293409777	1.952603525	1.891838396
1_318_2020	2020	1_318	1	318	1_318	E			1.2214	0.72363	0.22139	0.38193	472	18.993	14.083					281128705		139	6	6	0	0	0	Validation	BDC	ASY	25.75	118	28.9											0.575109968	1.347854246	1.71325739	1.894816512
1_319_2020	2020	1_319	1	319	1_319	C			1.2605	0.65469	0.26052	0.52745	504	20.341	13.641					240150378		139	5	4	0	0	0	Validation	BCC	ASY	23	111	28											0.591277091	1.500110363	1.684809578	1.89501062
1_422_2020	2020	1_422	1	422	1_422	B			1.168	0.71334	0.16795	0.40186	535	19.281	14.006					240150376		137	5	5	0	0	0	Validation	BCC	ASY	25	118	28.2											0.549399605	1.380545398	1.63563705	1.895348574
2_25_2021	2021	2_25	2	25	2_25	C			1.2018	0.686	0.20175	0.45767	429	19.732	13.836					272107361		135	6	6			6	Carryover	Prev_Control	ASY	22	113	28.6											0.5687338	1.437394572	1.420411374	1.897066454
1_431_2020	2020	1_431	1	431	1_431	E			1.2346	0.7606	0.23462	0.31474	468	18.427	14.38					240150380		140	5	5	0	0	0	Validation	BCA	SY	23.25	112	27.3											0.57219033	1.281284132	1.952576832	1.897932318
1_125_2020	2020	1_125	1	125	1_125	E			1.1548	0.74308	0.15484	0.34575	462	18.724	14.107					240150382	281128570	143	6	6	6	47	0	CortDose	Control	SY	20.5	112	27.9	20.5	122	28.6				0	4	2	4	0.564452537	1.327062066	1.316299132	1.899568469
2_20_2021	2021	2_20	2	20	2_20	C			1.1787	0.70167	0.17867	0.42517	466	19.425	13.776					281128469		163	4	0			2	Long_Control	None	ASY	18.75	122	28.4											0.574034092	1.413884746	1.394384187	1.900770948
1_422_2020	2020	1_422	1	422	1_422	C			1.1122	0.65391	0.11218	0.52927	566	20.499	13.44					240150376		137	5	5	0	0	0	Validation	BCC	ASY	25	118	28.2											0.527782961	1.515740717	1.539539593	1.900844361
1_412_2020	2020	1_412	1	412	1_412	D			1.3052	0.7285	0.3052	0.3727	590	19.014	14.351					240150389		148	4	0	0	0	0	Validation	BCC	SY	21	115	28.2											0.56635239	1.342412483	1.882927874	1.900950457
1_47_2021	2021	1_47	1	47	1_47	D			1.2189	0.70589	0.21887	0.41665	453	19.365	13.885					281178583		139	5	0			0	Cold_Snap		SY	18	119	28.4											0.570877165	1.376456551	1.497256472	1.900970589
1_346_2020	2020	1_346	1	346	1_346	A			1.2373	0.79198	0.23732	0.26265	490	17.903	14.397					240150387		143	5	5	0	0	0	Validation	BDC	SY	27.5	113	27.4											0.562328011	1.229574412	2.099142621	1.901122839
1_46_2021	2021	1_46	2	46	2_46	C			1.1688	0.67	0.16877	0.49243	433	20.089	13.613					240150397		138	6	4			2	Carryover	Prev_Cort	ASY	19.5	119	29.2											0.564569107	1.475881171	1.284866326	1.90178662
1_102_2021	2021	1_102	1	102	1_102	C			1.1841	0.70966	0.18405	0.40912	432	19.296	13.804					281128466		137	6	0			0	Cold_Snap		SY	20	117	29.1											0.565141758	1.390387454	1.52416331	1.902893367
1_302_2020	2020	1_302	1	302	1_302	E			1.1915	0.7264	0.1915	0.3766	385	18.996	14.096					240150385		143	6	6	0	0	0	Validation	BCC	SY	20.5													0.560601609	1.351727915	1.548506488	1.902893397
1_48_2020	2020	1_48	1	48	1_48	E			1.3185	0.72567	0.31849	0.37803	443	18.987	14.109					240150381		140	6	5	0	0	0	CortDose	Control	SY	22.5	114	27.5											0.592305092	1.347479555	2.094913268	1.904147316
2_19_2020	2020	2_19	2	19	2_19	B			1.2912	0.68742	0.29119	0.45471	540	19.674	13.848					281174510	281128631	142	5	5	5	39.6	0	CortDose	Control	SY	18.5	117	28.6	19.25	117	27.9				2	2	0	4	0.576904683	1.413294475	2.048140007	1.906861785
2_63_2021	2021	2_63	2	63	2_63	E	1.8		1.2595	0.71936	0.25954	0.39012	468	19.162	14.359					281174699		131	6	5			0	Cold_Snap	Cold_Control	ASY	23	116	28.1											0.573504635	1.365743026	1.776292519	1.907781182
2_10_2020	2020	2_10	2	10	2_10	E			1.2123	0.71926	0.21231	0.39031	441	19.125	13.927					281128553	278171892	139	6	4	4	47.5	0	CortDose	Cort	SY	22			19.25	121	28.8				1	3	0	4	0.570703838	1.344880271	1.469169358	1.908298238
2_63_2021	2021	2_63	2	63	2_63	C	1.7		1.2543	0.70878	0.25434	0.41088	470	19.264	14.134					281174699		131	6	5			0	Cold_Snap	Cold_Control	ASY	23	116	28.1											0.581675929	1.365554345	1.676627573	1.909809724
1_51_2020	2020	1_51	1	51	1_51	D			1.2042	0.73581	0.20421	0.35904	491	18.859	13.946					281128556	281174103	143	5	5	5	46.2	0	CortDose	Cort	SY	19	109	27.7	21.75	125	30				4	0	1	4	0.573756554	1.337371302	1.510992073	1.910088268
2_86_2021	2021	2_86	2	86	2_86	E	2		1.1429	0.81163	0.14291	0.23209	397	17.736	14.778					272107217	281172255	134	5	5			5	Carryover	Prev_Control	ASY	23	118	28.9	20	126	29.5								0.546881703	1.215841592	1.56124783	1.910712537
2_34_2020	2020	2_34	2	34	2_34	B			1.2345	0.6965	0.2345	0.4357	411	19.584	13.687					272107805	281174521	134	5	2	2	27.6	0	CortDose	Cort	ASY	22.5	114	28.5	21.5	122	28.9				1	1	0	2	0.573186385	1.422262714	1.827931903	1.911368719
2_119_2020	2020	2_119	2	119	2_119	E			1.2279	0.71717	0.2279	0.39436	476	19.154	14.06					281174507	281174703	140	6	6	5	52.2	0	CortDose	Cort	SY	21.5	115	28.7	17	124	28.6								0.565167292	1.366694449	1.667435616	1.911395687
1_87_2021	2021	1_87	1	87	1_87	E	1.6		1.207	0.70717	0.20698	0.41409	450	19.421	13.861					281174001		132	6	0			0	Cold_Snap		ASY	22	115	28.3											0.561871629	1.400715774	1.768099041	1.91202717
1_353_2020	2020	1_353	1	353	1_353	B			1.1915	0.75694	0.19147	0.32111	521	18.597	14.479					281128704		143	5	5	0	0	0	Validation	BDA	ASY	22	121	27.8											0.557754549	1.288071302	1.264122142	1.912266691
2_7_2020	2020	2_7	2	7	2_7	C			1.2253	0.78956	0.22532	0.26652	481	17.978	14.846					281128548	272107789	138	5	5	5	63.4	0	CortDose	Control	SY	21	114	28.3	22	123	29.1				1	4	0	5	0.573073005	1.239668692	1.672400521	1.912784101
1_391_2020	2020	1_391	1	391	1_391	C			1.1253	0.69796	0.12528	0.43275	503	19.555	13.745					281128627		146	5	5	0	0	0	Validation	BDC	SY	21.25	115	28.4				212110281	2019	1_315					0.544786323	1.405456362	1.50764777	1.912973425
1_86_2020	2020	1_86	1	86	1_86	B			1.1389	0.73169	0.1389	0.36669	510	18.961	14.282					281128558		143	5	4	4	25.5	0	CortDose	Cort	SY	19	114	28.6							2	1	1	3	0.542690718	1.351538097	1.337807299	1.913625671
1_86_2020	2020	1_86	1	86	1_86	E			1.167	0.82536	0.16698	0.2116	473	17.467	14.873					281128558		143	5	4	4	25.5	0	CortDose	Cort	SY	19	114	28.6							2	1	1	3	0.556691984	1.197475446	1.472752189	1.914000977
2_63_2021	2021	2_63	2	63	2_63	D	2		1.236	0.69967	0.23604	0.42925	478	19.531	14.179					281174699		131	6	5			0	Cold_Snap	Cold_Control	ASY	23	116	28.1											0.57502589	1.38397087	1.810962496	1.914916617
2_27_2021	2021	2_27	2	27	2_27	E			1.0179	0.85015	0.017915	0.17626	398	17.189	14.68					281174802		137	5	0			0	Cold_Snap		SY	20	114	27.3											0.5198265	1.182587137	1.04769261	1.916183693
1_371_2020	2020	1_371	1	371	1_371	A			1.2763	0.74724	0.27633	0.33826	485	18.664	14.374					281128701	272107009	134	6	6	0	0	0	Validation	BDC	ASY	23.75	115	28.7	22.5	124	29.3								0.606611879	1.316066255	1.542043928	1.917033055
1_364_2020	2020	1_364	1	364	1_364	C			1.1359	0.67809	0.13585	0.47473	498	19.955	13.635					232146953		140	5	4	0	0	0	Validation	BCC	ASY	24	117	28.4											0.558552161	1.463774399	1.342831714	1.917360181
1_47_2021	2021	1_47	1	47	1_47	B			1.2497	0.73329	0.24972	0.36372	444	18.938	14.349					281178583		139	5	0			0	Cold_Snap		SY	18	119	28.4											0.580829646	1.322856355	1.680635134	1.918707337
2_127_2020	2020	2_127	2	127	2_127	E			1.2078	0.78633	0.2078	0.27173	315	18.082	14.561					281174515		142	6	0	0	0	0	CortDose	Control	SY	21.5	114	28.2											0.579083681	1.252867709	1.446436933	1.919126853
2_79_2020	2020	2_79	2	79	2_79	C			1.314	0.65291	0.314	0.53161	484	20.435	13.982					278172154		139	6	6	6	77.2	0	CortDose	Cort	ASY	22	117	29							0	6	0	6	0.600240345	1.488649699	1.819448292	1.919319869
1_102_2021	2021	1_102	1	102	1_102	B			1.1521	0.69462	0.15214	0.43964	439	19.698	13.668					281128466		137	6	0			0	Cold_Snap		SY	20	117	29.1											0.554519192	1.433596404	1.37698935	1.92069547
2_76_2020	2020	2_76	2	76	2_76	B			1.1616	0.6777	0.1616	0.4756	715	19.995	13.945					281128564	281174450	152	4	3	3	37.6	0	CortDose	Cort	SY	21.5	113	29.4	18.5	118	28.3				2	1	0	3	0.560315195	1.459441167	1.315704419	1.920750232
1_32_2020	2020	1_32	1	32	1_32	C			1.1969	0.74081	0.19687	0.34988	495	18.763	13.939					281128450	281174108	142	5	5	5	38	0	CortDose	Cort	SY	22.25	120	28.8	19.5	115	28.5				4	1	0	5	0.577971557	1.32868716	1.445591394	1.921109067
1_366_2020	2020	1_366	1	366	1_366	D			1.1331	0.76346	0.13308	0.30983	458	18.458	14.108					278172150		137	5	5	0	0	0	Validation	BDC	ASY	22.5	117	28.4											0.551648584	1.292719373	1.382106675	1.921745831
1_312_2020	2020	1_312	1	312	1_312	B			1.1761	0.7782	0.17608	0.28502	445	18.201	14.655					281128703		145	6	6	0	0	0	Validation	BCA	ASY	23.25	114	28.3											0.56561399	1.261475424	1.558320172	1.92229615
2_25_2020	2020	2_25	2	25	2_25	C			1.1611	0.7375	0.1611	0.356	369	18.91	14.259					281128404	281174538	141	6	6	6	41.1	0	CortDose	Cort	ASY	22.5	120	28.6	20.5	118	29.2				4	0	0	4	0.565469939	1.342760723	1.400908626	1.923112238
2_6_2021	2021	2_6	2	6	2_6	D	1.8		1.2355	0.68225	0.23549	0.46574	482	19.846	13.89					281128455	281175000	134	6	3			3	Cold_Snap	Cold_Cold	ASY	22.5	114	29.2	20	120	28.3								0.568926105	1.434320893	1.692110357	1.923691655
1_134_2020	2020	1_134	1	134	1_134	E			1.2158	0.75511	0.21579	0.32431	500	18.565	14.132					240150379		140	5	5	5	51.6	0	CortDose	Control	SY	22.5	117	27.7							2	1	0	3	0.567195649	1.300047904	1.583300468	1.924334091
2_93_2020	2020	2_93	2	93	2_93	D			1.2532	0.7265	0.25319	0.37645	566	19.038	14.437					281128551		140	4	4	4	46.3	0	CortDose	Cort	ASY	22	114	29							2	2	0	4	0.581948261	1.343369276	1.702568734	1.924390565
2_119_2020	2020	2_119	2	119	2_119	D			1.1643	0.67799	0.16433	0.47496	497	20.002	13.819					281174507	281174703	140	6	6	5	52.2	0	CortDose	Cort	SY	21.5	115	28.7	17	124	28.6								0.556503095	1.451448164	1.397672345	1.924959005
1_325_2020	2020	1_325	1	325	1_325	F			1.1874	0.7414	0.18741	0.3488	463	18.892	14.191					281128557		142	6	6	0	0	0	Validation	BDC	SY	19.5	112	28.9											0.556722878	1.330701616	1.420640313	1.92645587
1_397_2020	2020	1_397	1	397	1_397	E			1.2476	0.73715	0.24762	0.35658	500	18.896	14.208					240150386		144	6	6	0	0	0	Validation	BCC	SY	22.5	110	28.6											0.564066663	1.327593049	1.833739471	1.926831743
2_7_2020	2020	2_7	2	7	2_7	D			1.1741	0.78038	0.17409	0.28142	478	18.176	14.35					281128548	272107789	138	5	5	5	63.4	0	CortDose	Control	SY	21	114	28.3	22	123	29.1				1	4	0	5	0.567007313	1.265737078	1.470207808	1.92716302
2_97_2020	2020	2_97	2	97	2_97	E			1.1697	0.7521	0.1697	0.3296	364	18.619	14.463					281174514	278172245	144	5	4	4	41.5	0	CortDose	Cort	SY	21	117	28.4	19	123	28.6				2	1	0	3	0.571675817	1.293853985	1.406469978	1.92722776
1_48_2020	2020	1_48	1	48	1_48	D			1.2439	0.72746	0.2439	0.37465	441	19.098	14.238					240150381		140	6	5	0	0	0	CortDose	Control	SY	22.5	114	27.5											0.562786824	1.349312612	1.989617288	1.928775124
2_37_2020	2020	2_37	2	37	2_37	C			1.2277	0.6472	0.22765	0.54511	631	20.566	13.434					278171877	272106914	140	5	5	5	81.8	0	CortDose	Cort	ASY	21.5	116	28.6	22	124	28.7				1	3	0	4	0.589208468	1.522794946	1.4549513	1.929854845
1_325_2020	2020	1_325	1	325	1_325	B			1.1768	0.72746	0.17676	0.37464	464	18.906	13.873					281128557		142	6	6	0	0	0	Validation	BDC	SY	19.5	112	28.9											0.569260429	1.348646865	1.694970794	1.931104725
1_91_2021	2021	1_91	1	91	1_91	B	1.6		1.1703	0.69888	0.17027	0.43086	432	19.661	13.805					281174003	281174101	134	6	4			4	Cold_Snap	Cold_Cold	ASY	23.5	119	28.8	18.5	123	29.2								0.580574302	1.425417208	1.126046643	1.933170675
1_61_2020	2020	1_61	1	61	1_61	B			1.2337	0.7488	0.2337	0.3355	271	18.716	13.793					281128560	281174115	146	5	5	5	49.8	0	CortDose	Control	SY	21.5	116	27.9	18.75	120	28.4				3	1	0	4	0.576156484	1.316775394	1.672450139	1.933771797
2_19_2021	2021	2_19	2	19	2_19	C			1.2539	0.69598	0.25393	0.43683	504	19.604	13.701					240150380	281174113	134	5	3			3	Cold_Snap	Cold_Control	ASY	23	116	28.4	19	120	29.1								0.584415706	1.413891576	1.714427952	1.934072224
1_391_2020	2020	1_391	1	391	1_391	D			1.1707	0.73824	0.17075	0.35457	486	18.88	14.035					281128627		146	5	5	0	0	0	Validation	BDC	SY	21.25	115	28.4				212110281	2019	1_315					0.547556864	1.325413322	1.547727668	1.935532792
1_348_2020	2020	1_348	1	348	1_348	C			1.2283	0.67822	0.22833	0.47444	480	20.035	13.986					278172096		139	6	4	0	0	0	Validation	BDA	ASY	25.5	110	28.1											0.570741666	1.442515052	1.681132446	1.93585311
2_44_2021	2021	2_44	2	44	2_44	B			1.2765	0.6819	0.27652	0.46649	496	19.898	13.811					281174601	281174016	135	5	4			3	Cold_Snap	Cold_Cold	ASY	23	118	27.9	19.5	122	28.8								0.599210195	1.432544549	1.629469593	1.93630755
2_37_2020	2020	2_37	2	37	2_37	B			1.1597	0.67701	0.15966	0.47709	611	20.036	13.613					278171877	272106914	140	5	5	5	81.8	0	CortDose	Cort	ASY	21.5	116	28.6	22	124	28.7				1	3	0	4	0.574351976	1.467618978	1.17376975	1.936765465
1_19_2021	2021	1_19	1	19	1_19	B			1.2787	0.657	0.2787	0.522	420	20.362	13.783					281128705		135	7	6			6	Cold_Snap	Cold_Control	ASY	24	120	28.7											0.602738774	1.487563454	1.552944108	1.937428761
2_56_2020	2020	2_56	2	56	2_56	B			1.291	0.67085	0.29104	0.49064	582	20.109	13.717					281128554		140	5	0	0	0	0	CortDose	Control	SY	23													0.601912029	1.468758106	1.910020781	1.937764087
2_2_2021	2021	2_2	2	2	2_2	C			1.2336	0.6744	0.23356	0.48286	430	20.076	13.841					272108250		138	6	0			0	Cold_Snap		ASY	20	113	28.9											0.582384457	1.456860185	1.612224302	1.938163626
1_121_2021	2021	1_121	1	121	1_121	A			1.1917	0.67923	0.19166	0.47224	469	19.986	13.708					281128461	281174809	137	5	4			3	Cold_Snap	Cold_Control	ASY	20.75	115	28.7	20	114	28.7								0.578830107	1.45514434	1.359708421	1.939329838
1_80_2021	2021	1_80	1	80	1_80	B	1.7		1.2606	0.7056	0.2606	0.4172	359	19.475	13.832					281128559	272107634	130	7	4			3	Carryover	Prev_Control	ASY	24.5	116	29.5											0.590093475	1.395822236	1.796284143	1.939369469
2_103_2020	2020	2_103	2	103	2_103	D			1.2781	0.7048	0.27814	0.41884	510	19.454	14.04					281128549	278172199	137	5	4	4	40.6	0	CortDose	Cort	ASY	21.5	116	28.3	22	125	28.93				4	0	0	4	0.586696467	1.38486927	1.885189547	1.939624962
2_124_2020	2020	2_124	2	124	2_124	E			1.1389	0.84111	0.13893	0.1889	421	17.378	14.906					278171872	281174105	139	6	4	0	0	0	CortDose	Cort	ASY	21.5	116	28.9	20	116	29								0.547144811	1.183662361	1.364693593	1.940075004
1_80_2020	2020	1_80	1	80	1_80	E			1.201	0.71833	0.20102	0.39211	460	19.303	14.198					281128559		143	6	5	5	43.9	0	CortDose	Control	SY	22	114	29.7							1	1	3	2	0.569502927	1.373910682	1.541529105	1.940263028
1_51_2021	2021	1_51	1	51	1_51	C			1.1837	0.72873	0.18369	0.37224	409	19.09	14.175					281128459	281174185	137	5	5			4	Cold_Snap	Cold_Cold	ASY	22	113	28.9	18.5	117	29.2								0.568766162	1.347841946	1.293329167	1.940533781
2_127_2020	2020	2_127	2	127	2_127	C			1.1771	0.73297	0.17714	0.36431	331	19	14.231					281174515		142	6	0	0	0	0	CortDose	Control	SY	21.5	114	28.2											0.559465433	1.34782027	1.535320265	1.940686723
1_12_2020	2020	1_12	1	12	1_12	E			1.2263	0.68143	0.2263	0.4675	510	19.963	14.001					240150388	281174138	146	6	6	5	20.6	0	CortDose	Cort	ASY	22.25	118	28.8	19.25	121	29.2								0.578101296	1.428751305	1.733869715	1.941120277
2_63_2021	2021	2_63	2	63	2_63	B	1.4		1.309	0.73463	0.30901	0.36124	462	18.939	14.483					281174699		131	6	5			0	Cold_Snap	Cold_Control	ASY	23	116	28.1											0.584280796	1.309766778	2.005460238	1.942371274
1_89_2021	2021	1_89	1	89	1_89	C	1.8		1.2293	0.66503	0.22929	0.50368	454	20.333	13.987					281174455	281174549	136	5	5			5	Cold_Snap	Cold_Cold	SY	21.5	114	28.2	20	119	28.3								0.567522345	1.472430525	1.835871621	1.944729995
1_48_2021	2021	1_48	1	48	1_48	D			1.198	0.74614	0.19798	0.34023	418	18.776	14.291					281174343	281174964	139	5	3			3	Cold_Snap	Cold_Control	ASY	16.5	111	27.4				281174518	2020	2_17					0.559258733	1.319372555	1.668907313	1.946073378
2_47_2021	2021	2_47	2	47	2_47	C			1.2691	0.67747	0.26906	0.47607	444	19.94	13.934					281128816	281128476	136	6	6			5	Carryover	Prev_Cort	ASY	23	111	28.5	18.75	121	29.1	281128707	2019	1_329					0.586560214	1.433367037	1.683232568	1.946568689
1_77_2020	2020	1_77	1	77	1_77	B			1.2174	0.70611	0.2174	0.41621	500	19.519	13.91					240150391	281174443	148	5	4	4	50	0	CortDose	Cort	SY	24	112	28.6	20	118	28.9				1	1	0	2	0.559162172	1.388177602	1.607926002	1.947666864
